16-7-21 下午1:57
项目统计

     	    片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	101133	421051	3605151	3954532	  2065	
剩余：  	 83148	379180	3333065	3660972	  2065	
独特：  	 47359	300630	2532248	2817008	  2064	
剩余独特：	 47010	298063	2515315	2797722	  2064	


单文件统计：

文件名                                                                     	 总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
documentation/audiocd/pauseaudiocd.html                                 	  21	  12	   6	     6	  39	  27	  21	    21	     372	      303	      216	        216	     394	      322	      235	        235	
documentation/audiocd/playaudiocd.html                                  	  24	  16	  10	    10	  62	  51	  44	    44	     488	      424	      300	        300	     529	      462	      337	        337	
documentation/audiocd/resumeaudiocd.html                                	  20	  11	   5	     5	  38	  26	  20	    20	     370	      301	      215	        215	     392	      320	      234	        234	
documentation/audiocd/stopaudiocd.html                                  	  19	  10	   5	     5	  28	  16	  11	    11	     286	      217	      147	        147	     299	      227	      157	        157	
documentation/audiocd/useaudiocd.html                                   	  23	  15	   9	     9	  69	  58	  52	    52	     475	      411	      328	        328	     522	      455	      372	        372	
documentation/billboard/addbillboard.html                               	  21	  15	  14	    14	 106	  98	  97	    97	     729	      677	      667	        667	     816	      762	      752	        752	
documentation/billboard/billboardgroupcommondirection.html              	  22	  14	  10	    10	  58	  47	  41	    41	     564	      500	      445	        445	     603	      536	      479	        479	
documentation/billboard/billboardgroupcommonupvector.html               	  22	  14	   7	     7	  59	  48	  35	    35	     563	      499	      365	        365	     603	      536	      396	        396	
documentation/billboard/billboardgroupid.html                           	  18	  12	   8	     8	  63	  55	  47	    47	     587	      535	      454	        454	     636	      582	      497	        497	
documentation/billboard/billboardgroupmaterial.html                     	  23	  16	  13	    13	  97	  88	  85	    85	     706	      649	      603	        603	     782	      723	      677	        677	
documentation/billboard/billboardgroupx.html                            	  22	  16	  13	    13	  96	  88	  85	    85	     691	      639	      587	        587	     770	      716	      664	        664	
documentation/billboard/billboardgroupy.html                            	  22	  16	   9	     9	  96	  88	  53	    53	     677	      625	      430	        430	     756	      702	      479	        479	
documentation/billboard/billboardgroupz.html                            	  22	  16	   9	     9	  96	  88	  53	    53	     677	      625	      430	        430	     756	      702	      479	        479	
documentation/billboard/billboardheight.html                            	  20	  14	  11	    11	  76	  68	  65	    65	     549	      497	      452	        452	     609	      555	      510	        510	
documentation/billboard/billboardlocate.html                            	  24	  17	  11	    11	  96	  87	  70	    70	     660	      603	      489	        489	     735	      676	      551	        551	
documentation/billboard/billboardwidth.html                             	  20	  14	   9	     9	  70	  62	  48	    48	     511	      459	      350	        350	     565	      511	      393	        393	
documentation/billboard/billboardx.html                                 	  19	  13	   7	     7	  60	  52	  34	    34	     456	      404	      278	        278	     501	      447	      309	        309	
documentation/billboard/billboardy.html                                 	  19	  13	   6	     6	  60	  52	  17	    17	     448	      396	      198	        198	     493	      439	      213	        213	
documentation/billboard/billboardz.html                                 	  19	  13	   6	     6	  60	  52	  17	    17	     458	      406	      208	        208	     503	      449	      223	        223	
documentation/billboard/clearbillboards.html                            	  17	  10	   7	     7	  36	  27	  24	    24	     360	      303	      263	        263	     382	      323	      283	        283	
documentation/billboard/countbillboards.html                            	  17	  11	   6	     6	  48	  40	  31	    31	     433	      381	      288	        288	     468	      414	      317	        317	
documentation/billboard/createbillboardgroup.html                       	  58	  51	  36	    36	 421	 411	 356	   356	    2993	     2934	     2425	       2425	    3357	     3295	     2749	       2749	
documentation/billboard/freebillboardgroup.html                         	  21	  13	  10	    10	  73	  63	  60	    60	     607	      543	      493	        493	     662	      596	      546	        546	
documentation/billboard/hidebillboardgroup.html                         	  21	  14	  10	    10	  63	  54	  50	    50	     529	      472	      419	        419	     575	      516	      463	        463	
documentation/billboard/index.html                                      	  70	  64	  38	    38	 138	 128	 103	   103	    1979	     1917	     1408	       1408	    2047	     1980	     1471	       1471	
documentation/billboard/isbillboardgroup.html                           	  20	  13	   8	     8	  76	  67	  58	    58	     556	      497	      408	        408	     616	      555	      462	        462	
documentation/billboard/movebillboard.html                              	  24	  17	  10	    10	  99	  90	  81	    81	     692	      635	      531	        531	     770	      711	      605	        605	
documentation/billboard/movebillboardgroup.html                         	  28	  21	  14	    14	 118	 109	  92	    92	     830	      773	      660	        660	     926	      867	      744	        744	
documentation/billboard/removebillboard.html                            	  19	  12	   7	     7	  43	  34	  29	    29	     433	      376	      298	        298	     460	      401	      323	        323	
documentation/billboard/resizebillboard.html                            	  22	  15	   8	     8	  97	  88	  73	    73	     710	      653	      509	        509	     788	      729	      577	        577	
documentation/billboard/rotatebillboardgroup.html                       	  23	  16	  10	    10	  85	  76	  60	    60	     605	      548	      454	        454	     669	      610	      506	        506	
documentation/camera/camerabackcolor.html                               	  21	  14	  12	    12	  62	  53	  51	    51	     433	      376	      361	        361	     474	      415	      400	        400	
documentation/camera/cameradirection.html                               	  20	  13	   9	     9	  61	  52	  43	    43	     446	      389	      352	        352	     490	      431	      389	        389	
documentation/camera/cameradirectionx.html                              	  23	  17	  10	    10	  95	  87	  62	    62	     650	      598	      462	        462	     727	      673	      519	        519	
documentation/camera/cameradirectiony.html                              	  24	  18	  10	    10	  95	  87	  54	    54	     653	      601	      429	        429	     730	      676	      479	        479	
documentation/camera/cameradirectionz.html                              	  23	  17	   9	     9	  95	  87	  54	    54	     638	      586	      414	        414	     715	      661	      464	        464	
documentation/camera/camerafixedyawaxis.html                            	  31	  24	  18	    18	 189	 180	 153	   153	    1034	      977	      845	        845	    1196	     1137	      984	        984	
documentation/camera/camerafollow.html                                  	  53	  45	  39	    39	 248	 237	 214	   214	    1565	     1501	     1402	       1402	    1805	     1738	     1622	       1622	
documentation/camera/camerafov.html                                     	  22	  15	   9	     9	  86	  77	  68	    68	     558	      501	      420	        420	     625	      566	      482	        482	
documentation/camera/cameraid.html                                      	  13	   9	   7	     7	  42	  37	  35	    35	     344	      313	      286	        286	     377	      345	      318	        318	
documentation/camera/cameralookat.html                                  	  19	  12	   7	     7	  51	  42	  32	    32	     345	      288	      238	        238	     380	      321	      266	        266	
documentation/camera/camerapitch.html                                   	  29	  22	  15	    15	 112	 102	  84	    84	     780	      721	      611	        611	     869	      807	      686	        686	
documentation/camera/cameraprojectionmode.html                          	  22	  14	  10	    10	  70	  60	  53	    53	     576	      515	      467	        467	     628	      565	      514	        514	
documentation/camera/cameraprojectionx.html                             	  14	  10	   8	     8	  58	  53	  51	    51	     423	      392	      357	        357	     471	      439	      404	        404	
documentation/camera/cameraprojectiony.html                             	  14	  10	   6	     6	  58	  53	  27	    27	     405	      374	      248	        248	     453	      421	      273	        273	
documentation/camera/camerarange.html                                   	  21	  14	  10	    10	  59	  50	  43	    43	     438	      381	      327	        327	     479	      420	      363	        363	
documentation/camera/camerarendermode.html                              	  25	  18	  11	    11	 116	 107	  90	    90	     816	      759	      643	        643	     916	      857	      731	        731	
documentation/camera/cameraroll.html                                    	  29	  22	  11	    11	 112	 102	  72	    72	     774	      715	      508	        508	     863	      801	      575	        575	
documentation/camera/cameraviewheight.html                              	  17	  11	   6	     6	  49	  41	  22	    22	     384	      332	      231	        231	     420	      366	      251	        251	
documentation/camera/cameraviewwidth.html                               	  17	  11	   6	     6	  49	  41	  22	    22	     383	      331	      225	        225	     419	      365	      245	        245	
documentation/camera/cameraviewx.html                                   	  17	  11	   6	     6	  51	  43	  23	    23	     381	      329	      218	        218	     419	      365	      239	        239	
documentation/camera/cameraviewy.html                                   	  17	  11	   6	     6	  51	  43	  23	    23	     365	      313	      206	        206	     403	      349	      227	        227	
documentation/camera/camerax.html                                       	  27	  20	  12	    12	  94	  84	  59	    59	     649	      590	      459	        459	     721	      659	      511	        511	
documentation/camera/cameray.html                                       	  27	  20	   9	     9	  94	  84	  56	    56	     645	      586	      418	        418	     717	      655	      470	        470	
documentation/camera/camerayaw.html                                     	  29	  22	  10	    10	 112	 102	  71	    71	     732	      673	      462	        462	     821	      759	      529	        529	
documentation/camera/cameraz.html                                       	  27	  20	   9	     9	  93	  83	  55	    55	     652	      593	      420	        420	     723	      661	      471	        471	
documentation/camera/createcamera.html                                  	  65	  57	  40	    40	 612	 601	 557	   557	    3414	     3348	     3008	       3008	    3975	     3906	     3537	       3537	
documentation/camera/freecamera.html                                    	  24	  15	   9	     9	  85	  73	  67	    67	     581	      510	      433	        433	     645	      571	      494	        494	
documentation/camera/index.html                                         	  79	  73	  41	    41	 161	 151	 118	   118	    2025	     1963	     1397	       1397	    2106	     2039	     1473	       1473	
documentation/camera/iscamera.html                                      	  17	  13	   8	     8	  70	  65	  62	    62	     441	      410	      360	        360	     500	      468	      418	        418	
documentation/camera/movecamera.html                                    	  31	  23	  10	    10	  98	  87	  39	    39	     698	      634	      304	        304	     771	      704	      337	        337	
documentation/camera/rotatecamera.html                                  	  24	  17	   8	     8	  86	  77	  55	    55	     575	      518	      358	        358	     639	      580	      407	        407	
documentation/camera/switchcamera.html                                  	  21	  13	   8	     8	  39	  28	  23	    23	     335	      271	      206	        206	     354	      287	      222	        222	
documentation/cgi/cgibuffer.html                                        	  32	  23	  19	    19	 136	 124	 120	   120	    1164	     1093	     1021	       1021	    1273	     1199	     1127	       1127	
documentation/cgi/cgicookiename.html                                    	  36	  28	  24	    24	 139	 128	 118	   118	    1485	     1419	     1335	       1335	    1601	     1532	     1442	       1442	
documentation/cgi/cgicookievalue.html                                   	  37	  29	  13	    13	 150	 139	  59	    59	    1584	     1518	      523	        523	    1709	     1640	      572	        572	
documentation/cgi/cgiparameterdata.html                                 	  51	  43	  31	    31	 214	 203	 171	   171	    2187	     2121	     1732	       1732	    2374	     2305	     1896	       1896	
documentation/cgi/cgiparameterdatasize.html                             	  51	  43	   9	     9	 214	 203	  53	    53	    2173	     2107	      511	        511	    2360	     2291	      560	        560	
documentation/cgi/cgiparametername.html                                 	  37	  29	  11	    11	 127	 116	  51	    51	    1430	     1364	      610	        610	    1529	     1460	      655	        655	
documentation/cgi/cgiparametertype.html                                 	  54	  46	  15	    15	 229	 218	  76	    76	    2339	     2273	      982	        982	    2528	     2459	     1053	       1053	
documentation/cgi/cgiparametervalue.html                                	  44	  36	  14	    14	 184	 173	  75	    75	    1776	     1710	      742	        742	    1932	     1863	      816	        816	
documentation/cgi/cgivariable.html                                      	  92	  84	  74	    74	 744	 733	 703	   703	    6674	     6608	     6192	       6192	    7527	     7458	     7021	       7021	
documentation/cgi/countcgicookies.html                                  	  32	  23	  10	    10	 149	 137	  84	    84	    1425	     1354	      665	        665	    1550	     1476	      745	        745	
documentation/cgi/countcgiparameters.html                               	  33	  24	   8	     8	 104	  92	  37	    37	    1305	     1234	      470	        470	    1382	     1308	      505	        505	
documentation/cgi/finishfastcgirequest.html                             	  42	  33	  25	    25	 162	 150	 140	   140	    1675	     1604	     1406	       1406	    1818	     1744	     1544	       1544	
documentation/cgi/index.html                                            	  60	  54	  35	    35	 116	 106	  89	    89	    1507	     1445	     1114	       1114	    1563	     1496	     1165	       1165	
documentation/cgi/initcgi.html                                          	  30	  22	  12	    12	 121	 110	  79	    79	    1055	      989	      562	        562	    1151	     1082	      634	        634	
documentation/cgi/initfastcgi.html                                      	  54	  45	  22	    22	 294	 282	 215	   215	    2279	     2206	     1334	       1334	    2531	     2455	     1529	       1529	
documentation/cgi/readcgi.html                                          	  30	  21	   7	     7	 112	 100	  56	    56	     971	      900	      354	        354	    1059	      985	      408	        408	
documentation/cgi/waitfastcgirequest.html                               	  39	  30	   8	     8	 130	 118	  40	    40	    1407	     1336	      386	        386	    1509	     1435	      423	        423	
documentation/cgi/writecgidata.html                                     	  36	  28	  18	    18	 135	 124	 109	   109	    1407	     1341	     1046	       1046	    1515	     1446	     1146	       1146	
documentation/cgi/writecgifile.html                                     	  28	  20	  11	    11	  94	  83	  57	    57	    1034	      968	      636	        636	    1101	     1032	      684	        684	
documentation/cgi/writecgiheader.html                                   	  53	  45	  34	    34	 260	 249	 225	   225	    2046	     1980	     1668	       1668	    2303	     2234	     1910	       1910	
documentation/cgi/writecgistring.html                                   	  36	  28	  13	    13	 108	  97	  51	    51	    1098	     1032	      489	        489	    1172	     1103	      531	        531	
documentation/cgi/writecgistringn.html                                  	  33	  25	   8	     8	 130	 119	  65	    65	    1267	     1201	      641	        641	    1362	     1293	      696	        696	
documentation/cipher/addcipherbuffer.html                               	  31	  23	  19	    19	 100	  89	  85	    85	     771	      707	      659	        659	     843	      776	      728	        728	
documentation/cipher/addfingerprintbuffer.html                          	  30	  21	  16	    16	 114	 102	  97	    97	     875	      804	      741	        741	     962	      888	      825	        825	
documentation/cipher/aesdecoder.html                                    	  49	  41	  31	    31	 268	 257	 246	   246	    1612	     1546	     1426	       1426	    1832	     1763	     1642	       1642	
documentation/cipher/aesencoder.html                                    	  88	  80	  46	    46	 550	 539	 364	   364	    4030	     3964	     2787	       2787	    4483	     4414	     3094	       3094	
documentation/cipher/base64decoder.html                                 	  57	  49	  43	    43	 220	 209	 205	   205	    2080	     2014	     1933	       1933	    2252	     2183	     2102	       2102	
documentation/cipher/base64encoder.html                                 	  45	  37	  16	    16	 229	 218	 165	   165	    1597	     1531	      966	        966	    1796	     1727	     1131	       1131	
documentation/cipher/closecryptrandom.html                              	  22	  13	   9	     9	  45	  33	  29	    29	     524	      455	      391	        391	     551	      479	      415	        415	
documentation/cipher/cryptrandom.html                                   	  38	  30	  17	    17	 172	 161	 151	   151	    1317	     1251	     1060	       1060	    1457	     1388	     1197	       1197	
documentation/cipher/cryptrandomdata.html                               	  44	  35	  23	    23	 147	 135	 114	   114	    1407	     1334	     1093	       1093	    1524	     1448	     1197	       1197	
