alphanumeric sort	按字母数字顺序排列
Microsoft Interface Definition Language	Microsoft 接口定义语言
named set	命名集
set	集
face down	正面向下
window procedure	窗口程序
Microsoft Windows SharePoint Services	Microsoft Windows SharePoint Services
Windows SharePoint Services	Windows SharePoint Services
SharePoint Services	SharePoint Services
WSS	WSS
split	拆分
alert latency	警报延迟
sales quotation	销售报价单
CIM Object Manager	CIM 对象管理器
database object	数据库对象
mass storage	大容量存储
icon overlay	图标覆盖
hatch	交错线
cross hatch	交叉阴影线
index	索引
Test Access Port	测试访问端口
TAP	TAP
P1 header	P1 邮件头
message envelope	邮件信封
Poll slide	投票表决幻灯片
Call Via Conferencing Service	通过会议服务呼叫
Class C IP address	C 类 IP 地址
time out	超时
V.34	V.34
intersite topology generator	站点间拓扑生成器
ISTG	ISTG
bounding box	边界框
versioning	版本控制
keyboard language	键盘语言
flowchart	流程图
hue	色调
standard NIS map	标准 NIS 映射
Deployment Designer	部署设计器
AM	AM
amplitude modulation	调幅
image	图像
picture	图片
digital image	数字图像
star schema	星型架构
relative URL	相对 URL
RELURL	RELURL
NTFS	NTFS
NTFS file system	Windows NT 文件系统
digital camera	数字相机
rights management	版权管理
Vendor Evaluation and Consolidation	供应商评估和合并
Favorite view	收藏夹视图
base unit	基础单位
outbox	发件箱
right-aligned	右对齐
section break	分节符
identity seed	标识种子
token	预付码
Business Scorecard Builder	Business Scorecard Builder
paused	暂停的
ADF	ADF
automatic document feeder	自动文档送纸器
RIP	RIP
Routing Information Protocol	路由信息协议
association	关联
Peer-to-Peer	对等
Auditorium Place	大会堂
Boolean operator	布尔运算符
local server	本地服务器
SQL Server Integration Services	SQL Server Integration Services
SSIS	SSIS
object path	对象路径
unfold button	展开按钮
dots per inch	每英寸点数
DPI	dpi
CRC	CRC
cyclic redundancy check	循环冗余检验
dialer	拨号器
Paint Bucket	油漆桶
bin	箱
nested type	嵌套类型
Application Compatibility Toolkit	应用程序兼容性工具包
ACT	ACT
PEL	PEL
stakeholder	利益干系人
baseline	基线
Single Sign-On services	单一登录服务
synchronization manager	同步管理器
drop	删除
UUENCODE	UUENCODE
restore	还原
PivotTable view	数据透视表视图
subreport	子报表
validation	验证
site	站点
text telephone	文本电话
telephone device for the deaf	失聪人士专用电话设备
TDD	TDD
Microsoft text telephone	Microsoft 文本电话
TTY/TDD	文字电话/听障专用电信设备
collation sequence	合并序列
property schema	属性架构
voucher number	凭证号
document properties	文档属性
insert	插入
stacked	堆叠方式
bump mapping	平滑
Home Screen	主屏幕
home screen	主屏幕
reservation	预留
TCP/IP	TCP/IP
Transmission Control Protocol/Internet Protocol	传输控制协议/Internet 协议
child model site	子模型站点
realized gain	已实现利润
client script	客户端脚本
fact dimension	事实维度
kiosk mode	展台模式
application role	应用程序角色
content conversion	内容转换
network protocol	网络协议
unhandled exception	未经处理的异常
scanner	扫描仪
subscription	订阅
Informational	信息的
gateway	网关
network gateway	网关
full-text search	全文搜索
Active Setup	智能安装
unbound control	未绑定控件
"Scroll, Up Stacked"	滚动，向上堆叠
PCL	PCL
Printer Control Language	打印机控制语言
workgroup	工作组
peer-to-peer network	对等网络
declarative referential integrity	声明性引用完整性
raise an event	引发事件
imaging	图像处理
Internetwork Packet Exchange/Sequenced Packet Exchange	网间分组交换/顺序包交换
command prompt window	命令提示符窗口
resolution strategy	解决策略
network location	网络位置
identifying field	标识字段
critical alert	关键警报
highlight	高亮颜色
event logging	事件日志
logging	记录
Start Menu restrictions	“开始”菜单限制
profile-guided optimization	按配置优化
PGO	PGO
generic method	泛型方法
group footer	组页脚
Template Manager	模板管理
optional parameter	可选参数
Server Manager	服务器管理器
brush	画笔
database	数据库
type mismatch	类型不匹配
directory	目录
PKCS #12	PKCS #12
Business Scorecard Manager Server Web service	Business Scorecard Manager Server Web 服务
data policy	数据策略
endpoint action data policy	终结点操作数据策略
Outlook add-in	Outlook 加载项
Object Browser	对象浏览器
PG	PG
activation	激活
one-way trust	单向信任
subcampaign	下级市场活动
communications protocol	通信协议
personalization provider	个性化设置提供器
At Most N Matches	最多 N 匹配
application state	应用程序状态
Mini-Setup	最小化安装
test project	测试项目
Windows Media Speech codec	Windows Media 语音编解码器
Task Scheduler	任务计划程序
public key encryption	公钥加密
asymmetric encryption	非对称加密
AE	AE
asymmetric key algorithm	非对称密钥算法
Good Automated Manufacturing Practice	生产自动化管理规范
Windows API	Windows API
Resource Explorer	资源浏览器
Administrative Time	管理时间
