alphanumeric sort	按字母数字顺序排列
Efficient File Storage	高效文件存储
managed navigation	托管导航
Project Online	Project Online
Microsoft Project Online	Microsoft Project Online
Quick Preview	快速预览
Office compatibility definition file	Office 兼容性定义文件
Microsoft Office 365 desktop readiness tool	Microsoft Office 365 桌面准备工具
Virtual Fibre Channel	虚拟光纤通道
Windows Server 8 Beta	Windows Server 8 Beta
uncomment	取消评论
preservation hold library	演示文稿保留库
service configuration setting	服务配置设置
service configuration file	服务配置文件
cross-site request forgery	跨网站请求伪造
CSRF	CSRF
canary	Canary
canary value	Canary 值
Windows Automatic Feedback	Windows 自动反馈
Office Telemetry Dashboard	Office 遥测仪表板
AlwaysOn Availability Groups	AlwaysOn 可用性组
automatic failover set	自动故障转移组
availability database	可用性数据库
availability group	可用性组
availability group listener	可用性组侦听程序
availability replica	可用性副本
cluster resource	群集资源
entire failover set	完整故障转移组
forced manual failover	强制手动故障转移
forced failover	强制故障转移
forced quorum	强制仲裁
storage space	存储空间
planned manual failover	计划的手动故障转移
primary replica	主要副本
quorum mode	仲裁模式
cluster resource group	群集资源组
secondary replica	次要副本
synchronous-commit failover set	同步提交故障转移组
key filter	主要筛选器
App Monitor	应用程序监视器
Excel interactive view	Excel 互动视图
interactive view gallery	互动视图库
People peek	联系人预览
query rule	查询规则
immersive	沉浸式
Internet-facing URL	面向 Internet 的 URL
public-facing URL	面向公众的 URL
Analytics Service	Analytics Service
MAHJONG TILE ONE OF CHARACTERS	麻将牌一万
DIGRAM FOR HEAVENLY EARTH	表示天人的二爻
TETRAGRAM FOR DEFECTIVENESS OR DISTORTION	表示缺陷或扭曲的四爻
PARENTHESIZED LATIN CAPITAL LETTER A	带圆括号拉丁文大写字母 A
Windows Communications Apps	Windows 通信应用
crypto escrow key	加密托管密钥
dynamic canary	动态 Canary
app switch	应用切换
document parsing	文档分析
entity extraction	实体提取
flow	流程
index replica	索引副本
ranking model	排名模型
seeding	种子设定
update group	更新组
queryable managed property	可查询的托管属性
refinable managed property	可精简搜索结果的托管属性
retrievable managed property	可检索的托管属性
searchable managed property	可搜索的托管属性
sortable managed property	可排序的托管属性
preferred distribution point	首选分发点
custom extraction dictionary	自定义提取字典
exact word extraction dictionary	全字匹配抽取字典（区分大小写）
exact word part extraction dictionary	全字部分匹配抽取字典（区分大小写）
word extraction dictionary	全字匹配抽取字典（不区分大小写）
word part extraction dictionary	全字部分匹配抽取字典（不区分大小写）
search schema	搜索架构
index partition	索引分区
Windows Essentials 2012	Windows 软件包 2012
Office Deployment Tool	Office 部署工具
visibility mode	可见模式
Hyper-V Replica Broker	Hyper-V 副本代理
proximity	邻近感应
Application Page Request	应用程序页面请求
Credential Locker	凭据保险箱
respond	答复
Folder Pane	文件夹窗格
Jump List	跳转列表
Internet Explorer 10 Consumer Preview	Internet Explorer 10 Consumer Preview
video mail	视频邮件
video message	视频邮件
stabilization	防抖动
image stabilization	图像防抖动
Live	Live
multidimensional measurement	多维测量
one-dimensional measurement	单维测量
dimensionless measurement	无量纲度量
measurement	度量
performance dimension	绩效维度
measure dimension	度量量纲
magnitude	度量值
usage event	使用事件
Windows PowerShell Web Access	Windows PowerShell Web 访问
Key Filters	主要筛选器
In-Place Hold	就地保留
lock screen	锁屏界面
Mail Migration add-on	Mail Migration 加载项
wobble correction	抖动修正
anti-shake	去抖动
anti-shake feature	防抖功能
Microsoft Azure Online Backup	Microsoft Azure Online Backup
package resource index file	包资源索引文件
PRI	PRI
kernel function	内核函数
C++ Accelerated Massive Parallelism	C++ Accelerated Massive Parallelism
C++ AMP	C++ AMP
Microsoft JDBC Driver v4.0 for SQL Server	Microsoft JDBC Driver v4.0 for SQL Server
Managed Extensibility Framework	Managed Extensibility Framework
MEF	MEF
MEF part	MEF 部件
MEF import	MEF 导入
MEF export	MEF 导出
MEF composition	MEF 组合
MEF composition engine	MEF 组合引擎
MEF composition container	MEF 组合容器
MEF catalog	MEF 目录
MEF contract	MEF 协定
Discovery and Risk Assessment	发现与风险评估
Spreadsheet Inquire	电子表格查询
Spreadsheet Compare	电子表格比较
Database Compare	数据库比较
Audit and Control Management Server	审核与控制管理服务器
graphics processing unit	图形处理器
GPU	GPU
key seed	密钥种子
key identifier	密钥标识符
watch folder	监视文件夹
Lync Meeting	Lync 会议
file filter	文件筛选器
video quality notifications	视频质量通知
IIS Transform Manager	IIS Transform Manager
OneNote share	OneNote 共享
video call	视频呼叫
personal preview	个人预览
Internet Explorer for the desktop	适用于桌面版的 Internet Explorer
Internet Explorer 10	Internet Explorer 10
compute node	计算节点
head node	头节点
node group	节点组
repackage	重新封装
Windows HPC Server	Windows HPC Server
high-performance computing	高性能计算
HPC	HPC
WorkQueue	WorkQueue
job manifest	作业清单
success code	成功代码
transcode	转换代码
Protected Interoperable File Format	受保护交互文件格式
PIFF	PIFF
enhanced presenter controls	增强型演示者控制
Lync Meeting window	Lync 会议窗口
persistent chat	持久聊天
Quick Lync	快速 Lync
active monitoring	主动监控
Lync Online administrator controls	Lync Online 管理员控制
licensing	授权
Microsoft Expression Encoder	Microsoft Expression Encoder
task chain	任务链
task template	任务模板
job definition	作业定义
job manager	作业管理器
Scalable Video Coding	可伸缩视频编码
job scheduler	作业计划程序
container format	容器格式
rooted path	根路径
WRM header	WRM 标头
client version filter	客户端版本筛选器
Front End pool	前端池
fault domain	容错域
Call Park orbit	呼叫寄存轨道
Microsoft OneDrive for Business	Microsoft OneDrive for Business
OneDrive for Business	OneDrive for Business
memory pressure	内存压力
working set	工作集
bytecode caching	字节码缓存
layout pass	布局过程
dependent animation	从属动画
Centralized Certificates	集中式证书
independent animation	独立动画
Dynamic IP Restrictions	动态 IP 限制
Dynamic IP Restrictions Extension for IIS	IIS 动态 IP 限制扩展
Dynamic IP Restrictions for IIS	IIS 动态 IP 限制
FTP Logon Attempt Restrictions	FTP 登录尝试限制
Server Name Indication	服务器名称指示
SNI	SNI
NUMA-Aware Scalability	NUMA 感知扩展性
IIS CPU Throttling	IIS CPU 限制
Application Initialization	应用程序初始化
web worker API	Web Worker API
Windows Certification Program for Hardware	Windows 硬件认证计划
Windows Hardware Certification	Windows 硬件认证
sensor monitoring service	传感器监视服务
Measured Boot	测量的启动
dial-out conferencing	拨出式会议
data conferencing	数据会议
Quick Notes	快速笔记
multiple activation key	多次激活密钥
MAK	MAK
My Office	我的 Office
scrubber	清理器
application model	应用模型
patch layer	补丁层
data enrichment	数据扩充
em	em
Places	当地天气
Storage Spaces	存储空间
My Watchlist	我的关注
Ruby	Ruby
pitch	绕 X 轴旋转
yaw	绕 Y 轴旋转
viewplane	投影平面
camera pan	摄像头平移
camera look point	摄像头视点
Smart Paging	智能分页
detectoid	detectoid
Remote Desktop Licensing Diagnoser	远程桌面许可诊断程序
RD Licensing Diagnoser	RD 许可诊断程序
Server Graphical Shell	服务器图形 Shell
Microsoft Azure AD	Microsoft Azure AD
Microsoft Azure Active Directory	Microsoft Azure Active Directory
Azure Active Directory	Azure Active Directory
Microsoft Azure AD Graph	Microsoft Azure AD Graph
Microsoft Azure Active Directory Graph	Microsoft Azure Active Directory Graph
Graph	Graph
Rights Management	Rights Management
Microsoft Azure AD Rights Management	Microsoft Azure AD Rights Management
authenticated denial of existence	已验证的否认存在
zone walking	区域遍历
Tap and Do	轻触并执行
Page Inspector	Page Inspector
Inspection Mode	检查模式
update bar	更新栏
brace matching	大括号匹配
smart indent	智能缩进
bundling	捆绑
model binding	模型绑定
ASP.NET Web API	ASP.NET Web API
Universal Providers	通用提供程序
ASP.NET Universal Providers	ASP.NET 通用提供程序
universal provider	通用提供者
auto-reduce statement completion	自动减少语句结束
publish profile	发布配置文件
Application Preload	应用程序预载
Microsoft OLE DB Provider for DB2 Version 4.0	DB2 4.0 版本的 Microsoft OLE DB 提供程序
concrete pool	实体池
App Package Sysprep	应用包 Sysprep
App Package Deployment Client DLL	应用包部署客户端 DLL
app for SharePoint	SharePoint 相关应用程序
content app for Office	Office 相关内容应用程序
content app	内容应用程序
mail app for Outlook	Outlook 相关邮件应用程序
mail app	邮件应用程序
task pane app for Office	Office 相关任务窗格应用程序
task pane app	任务窗格应用程序
flip ahead	快速翻页
Power	电源
Dynamic Access Control	动态访问控制
Active On	Active On
Hyper-V Network Virtualization	Hyper-V 网络虚拟化
IP Address Management	IP 地址管理
IPAM	IPAM
Data Center Transmission Control Protocol	数据中心传输控制协议
DCTCP	DCTCP
Data Center TCP	数据中心 TCP
NIC Teaming	NIC 组合
DHCP Failover	DHCP 故障转移
SMB Direct	SMB 直通
Data Deduplication	重复数据删除
Online Responder service	在线响应者服务
OCSP responder service	OCSP 响应者服务
Form Mode	窗体模式
read-optimized	读优化
Online Responder role service	在线响应者角色服务
Online Responder snap-in	在线响应者管理单元
Online Responder web proxy	在线响应者 Web 代理
number	数字
Office Telemetry Processor	Office 遥测处理器
Accessibility Advocate	辅助功能提倡者
identification	身份证明
Grade Values	成绩值
fetch	提取
Record Wall	记录墙
data annotation	数据注释
compiled query	已编译查询
.edmx	.edmx
.edmx file	.edmx 文件
Entity Framework Code First Migrations	Entity Framework Code First 迁移
Code First Migrations	Code First 迁移
Office-enabled app for SharePoint	支持 Office 的 SharePoint 相关应用程序
social channel	社交渠道
external data provider	外部数据供应商
data service provider	数据服务供应商
person record	人员记录
person relationship	人员关系
person-type entity	人员类型实体
Business Network profile	企业网络档案
Business Network relationship	企业网络关系
community representative	社区代表
social slice	社交扇区
destination subscription	目标订阅
enrich	扩充
source subscription	来源订阅
merchant	商家
POSA	POSA
point-of-sale activation	销售点激活
token subscription	预付码订阅
Compliance Technologies International	Compliance Technologies International
web conferencing	Web 会议
Microsoft Dynamics CRM Listener for Microsoft Azure	Microsoft Dynamics CRM Listener for Microsoft Azure
Survivable Branch Server	Survivable Branch Server
Public Conversations	公共对话
device-specific module	设备特定模块
DSM	DSM
correlation	相关性
conversation tracking	对话跟踪
Email Connector	电子邮件连接器
unlink	取消链接
resiliency	复原
applicability rule	适用性规则
resiliency setting	复原设置
app step	应用程序步骤
failover cluster snap-in	故障转移群集管理单元
RemoteFX encoding	RemoteFX 编码
RemoteFX decoding	RemoteFX 解码
RemoteFX Media Streaming	RemoteFX 媒体流式处理
resiliency type	复原类型
Role Sync	角色同步
Volume Activation Services	批量激活服务
Volume Activation Management Tool	批量激活管理工具
VAMT	VAMT
volume activation	批量激活
VA	VA
RemoteFX Adaptive Graphics	RemoteFX 自适应图像
chunk store container	区块存储容器
chunk container	区块容器
Office telemetry logging	Office 遥测日志记录
stylistic set	样式集
Office 365 service update	Office 365 服务更新
Windows 8 Pro	Windows 8 专业版
Windows 8	Windows 8
Windows RT	Windows RT
Windows 8 Pro Pack	Windows 8 专业包
Windows 8 Enterprise	Windows 8 企业版
Windows 8 Single Language	Windows 8 单语言版
Windows 8 Media Center Pack	Windows 8 Media Center Pack
failover relationship	故障转移关系
fencing	隔离
Power button	电源按钮
rotation lock button	旋转锁定按钮
site mailbox	网站邮箱
built-in experience	内置体验
custom driver access	自定义驱动程序访问
Microsoft Service Configuration Editor	Microsoft 服务配置编辑器
Windows 8 China	Windows 8 中文版
Windows 8 Pro with Media Center	Windows 8 专业版 (含 Media Center)
Microsoft Data Categorization and Recommendation Service	Microsoft 数据分类和推荐服务
Recommendation Service	推荐服务
external access	外部访问
guest link	来宾链接
Power View	Power View
accounting	计帐
Windows accounting	Windows 计帐
accounting provider	计帐提供者
Windows 8 Release Preview	Windows 8 Release Preview
Proactive Scanner	主动式扫描程序
aggressive address acquisition retry	积极获取地址重试
Central Publishing service	集中发布服务
mobile operator app	移动运营商应用
PIN sign-in	PIN 登录
rotation lock	旋转锁定
Dynamic Network Fair Share	动态网络公平共享
Remote Desktop Services Network Fair Share	远程桌面服务网络公平共享
Dynamic Disk Fair Share	动态磁盘公平共享
Office Automation Services	Office Automation Services
ULS	ULS
Unified Logging Service	统一日志记录服务
Cloud App Model	云应用程序模型
app tile	应用磁贴
exclusions	Exclusions 环绕
flexbox	弹性框
FlipView	FlipView
Multilingual App Toolkit	多语言应用工具包
Open Device Access Model	开放式设备访问模型
privileged app	特权应用
Restricted Device Access Model	受限式设备访问模型
restricted interface	受限接口
specialized device	特殊化设备
Open with	打开方式
SMB Multichannel	SMB 多通道
app listing	应用一览
telemetry data	遥测数据
market	市场
updating run	更新运行
Windows Server 2012	Windows Server 2012
COALESCE	COALESCE
Hyper-V Extensible Switch	Hyper-V 可扩展交换机
component server	组件服务器
reinstate	恢复
security scope	安全作用域
software metering	软件计数
Lync-to-phone	Lync-to-phone
RD Management Console	RD 管理控制台
virtual desktop template	虚拟机模板
standard deployment	标准部署
virtual machine-based desktop deployment	基于虚拟机的桌面部署
Remote Desktop Services session-based desktop deployment	基于远程桌面服务会话的桌面部署
session-based desktop deployment	基于会话的桌面部署
Quick Start	快速启动
OneDrive for Mac	OneDrive (Mac 版)
Auto-Extend	自动展开
Swap Displays	交换显示
active/active mode	主动/主动模式
active/passive mode	主动/被动模式
Office Web Apps Server	Office Web Apps Server
Lync admin center	Lync 管理中心
Internet Explorer 10 Release Preview	Internet Explorer 10 Release Preview
app part	应用程序部件
Cached File Updater contract	缓存文件更新程序合约
Camera Capture API	摄像头捕捉 API
default tile	默认磁贴
device experience	设备使用体验
File Open Picker contract	文件开启选取器合约
File Save Picker contract	文件保存选取器合约
identity verification	身份验证
web context	Web 上下文
local context	本地上下文
Multi-Column Layout	多列布局
Package Resource Indexer	包资源索引器
secondary tile	辅助磁贴
Specialized Device Access Model	特殊化设备访问模型
UI surface	UI 设计面
Windows Store app	Windows 应用商店应用
Windows Server 2012 Foundation	Windows Server 2012 Foundation
Windows Server 2012 Standard	Windows Server 2012 Standard
Windows Server 2012 Datacenter	Windows Server 2012 Datacenter
Windows Server 2012 Essentials	Windows Server 2012 Essentials
Hyper-V Server 2012	Hyper-V Server 2012
Windows Storage Server 2012 Workgroup	Windows Storage Server 2012 Workgroup
Windows Storage Server 2012 Standard	Windows Storage Server 2012 Standard
MultiPoint Server 2012 Standard	MultiPoint Server 2012 Standard
MultiPoint Server 2012 Premium	MultiPoint Server 2012 Premium
3D display controller	3D 显示控制器
custom action	自定义操作
app custom action	应用程序自定义操作
Hyper-V Replica	Hyper-V 副本
Replica virtual machine	副本虚拟机
zero power optical disk drive	零耗电光驱
ZPODD	ZPODD
zero power ODD	零耗电 ODD
Topology Builder	拓扑生成器
topic feeds	主题源
Join Launcher	Join Launcher
rolling shutter	滚动快门
outbound translation rule	出站转换规则
Microsoft Lync 2010 Attendee	Microsoft Lync 2010 Attendee
voice route	语音路由
voice policies	语音策略
client version policy	客户端版本策略
bypass call	旁路呼叫
Pin to Start	固定到“开始”屏幕
boot image	启动映像
Office XML Handler	Office XML Handler
long message	长消息
network regions	网络区域
SQL Data Sync	SQL 数据同步
SQL Reporting	SQL 报告
Microsoft Azure SQL Reporting	Microsoft Azure SQL 报告
Location Information Server	位置信息服务器
User Services pool	用户服务池
network site	网络站点
network inter-site policy	网络站点间策略
Video Capable	支持视频
A/V Edge server	A/V 边缘服务器
User Services service	User Services 服务
Cluster Shared Volume	群集共享卷
Apps for Office and SharePoint Developer Center	针对 Office 和 SharePoint 的应用程序开发人员中心
OData Extension Provider	OData 扩展提供者
photo mix	照片混合显示
app command	应用命令
Start charm	“开始”超级按钮
app switching	应用切换
connected standby	连接待机
PC settings	电脑设置
Windows button	Windows 按钮
malvertising	恶意广告
malicious advertising	恶意广告
SmartScreen Application Reputation	SmartScreen 应用程序信誉度
Entity Framework Designer	Entity Framework Designer
Entity Designer	Entity Designer
organizationally unique identifier	组织唯一标识符
OUI	OUI
out-of-box experience application	全新体验应用程序
OOBE application	OOBE 应用程序
web proxy	Web 代理
cross-domain library	跨域库
chrome control	部件版式控制
GeoFlow	GeoFlow
yomi	拼音
Tap and Hold	保持贴近式
Microsoft OEM Master Licensing Agreement	Microsoft OEM 主许可协议
MLA	MLA
Master Licensing Agreement	主许可协议
Devices	设备
volume control button	音量控制按钮
Second screen	第二屏幕
Web app Open Platform Interface	Web 应用程序开放平台接口
WOPI	WOPI
WOPI application	WOPI 应用程序
WOPI host	WOPI 主机
Get Genuine Windows	Get Genuine Windows
host web	主机 Web
app web	应用程序 Web
autohost	自动托管
computer build report	计算机生成的报告
adverse event	不良事件
age of onset	发病年龄
basal metabolic rate	基础代谢率
beats per minute	每分钟心跳次数
BPM	BPM
blood glucose measurement	血糖测量结果
blood glucose monitor	血糖监测仪
blood glucose meter	血糖仪
blood pressure	血压
blood pressure measurement	血压测量值
blood pressure monitor	血压监测仪
bone mineral density	骨密度
BMD	BMD
body mass index	体重指数
BMI	BMI
calorie intake	卡路里摄入量
continuity of care document	护理文件连续性
continuity of care record	护理记录连续性
copay	定额手续费
cholesterol profile	胆固醇概况
lipid profile	血脂谱
chronic condition	慢性疾病
computed radiography	计算机 X 光摄影
computed tomography	计算机断层摄影
computerized tomography	计算机断层摄影
CT	CT
condition	疾病
custodian	管理员
custodian access	管理员访问权限
demographic information	人口统计信息
Digital Imaging and Communications in Medicine	医学数字影像和通讯
DICOM	DICOM
dietary intake	饮食摄入量
discharge	出院
discharge instruction	出院指导
discharge summary	出院总结
drug allergy	药物过敏
drug order	医嘱
electrocardiogram	心电图
ECG	ECG
EKG	EKG
emergency access code	急诊访问代码
emergency profile	急诊档案
encounter	就诊
prescription	处方
emergency room	急诊室
ER	ER
dietary folate equivalents	膳食叶酸当量
DFE	DFE
"diphtheria, tetanus toxoids and accellular pertussis vaccine"	白喉、破伤风类毒素和非细胞性百日咳疫苗
DTaP	DTaP
"diphtheria, tetanus toxoids and pertussis vaccine"	白喉、破伤风类毒素和百日咳疫苗
DTP	DTP
diphtheria and tetanus toxoids vaccine	白喉和破伤风类毒素疫苗
DT	DT
bacillus Calmette-Guérin vaccine	卡介苗
BCG	BCG
family history	家族病史
feeding tube	饲管
g-tube	胃管
forced expiratory volume	用力呼气量
FEV	FEV
forced inspiratory flow	用力吸气流量
FIF	FIF
forced vital capacity	用力肺活量
FVC	FVC
haemophilus influenzae type b vaccine	B 型流感嗜血杆菌疫苗
Hib	Hib
high density lipoprotein	高密度脂蛋白
HDL	HDL
health device	健康设备
health history	健康史
health provider	健康提供方
healthcare provider	健康护理提供方
health record	健康记录
medical record	医疗记录
HealthVault Connection Center	HealthVault Connection Center
heart rate monitor	心率监视器
hepatitis A vaccine	甲型肝炎疫苗
HepA	HepA
hepatitis B vaccine	乙型肝炎疫苗
HepB	HepB
human papillomavirus vaccine	人乳头瘤病毒疫苗
HPV vaccine	HPV 疫苗
intensive care unit	重症监护病房
ICU	ICU
inpatient	住院病人
outpatient	门诊病人
intravenous line	静脉通道
IV line	静脉通道
poliovirus vaccine	脊髓灰质炎疫苗
polio vaccine	脊髓灰质炎疫苗
j-tube	空肠管
lab test	检验测试
laboratory test	检验测试
low density lipoprotein	低密度脂蛋白
LDL	LDL
meningococcal conjugate vaccine	脑膜炎球菌结合疫苗
MCV	MCV
"measles, mumps and rubella vaccine"	麻疹、腮腺炎和风疹疫苗
MMR	MMR
"measles, mumps, rubella and chickenpox vaccine"	麻疹、腮腺炎、风疹和水痘疫苗
MMRV	MMRV
medical device	医疗设备
medical image	医疗影像
meningococcal polysaccharide vaccine	流行性脑膜炎多糖疫苗
MPSV	MPSV
minute ventilation	每分通气量
mobile app	移动应用
neutral protamine hagedorn insulin	中性鱼精蛋白锌胰岛素
NPH insulin	NPH 胰岛素
optical coherence tomography	光学相干断层成像术
over the counter	非处方药
OTC	OTC
pain management	疼痛管理
patient	患者
peak expiratory flow	最大呼气流量
PEF	PEF
peak flow meter	峰值流量测定仪
peak heart rate	最大心率
positive airway pressure	气道正压通气
PAP	PAP
pneumococcal conjugate vaccine	肺炎球菌结合疫苗
PCV	PCV
positron emission tomography	正电子发射断层显像
PET	PET
pneumococcal polysaccharide vaccine	肺炎球菌多糖疫苗
PPSV	PPSV
procedure	治疗程序
referring physician	转诊医师
respiratory rate	呼吸率
resting heart rate	静息心率
single-photon emission computed tomography	单光子发射计算机断层摄影
SPECT	SPECT
tetanus and diphtheria vaccine	破伤风和白喉疫苗
Td	Td
"tetanus, diphtheria and acellular pertussis vaccine"	破伤风、白喉和非细胞性百日咳疫苗
Tdap	Tdap
tidal volume	潮气量
wallet card	钱夹卡片
Geolocation	地理位置
contemporary view	现代视图
classic view	经典视图
source of authority	授权来源
Lync Web Scheduler	Lync Web Scheduler
Device Channels	设备通道
user object	用户对象
cross-premises deployment	跨界部署
DNS hosting provider	DNS 托管提供者
single-label domain	单标签域
unfreeze	取消冻结
RTM	RTM
Release to Manufacturing	交付厂商版
Genuine Microsoft label	Microsoft 正版标签
GML	GML
refresh your PC	恢复电脑
reset your PC	初始化电脑
Windows Store dashboard	Windows 应用商店仪表板
speed bump	分隔栏
persistent virtual machine	永久性虚拟机
persistent VM	永久性 VM
Checkout	结帐
server-to-server protocol	服务器间协议
S2S protocol	S2S 协议
Windows Property Store	Windows 属性存储
Property Store	属性存储
quiz	测验
course code	课程代码
native resolution	原始分辨率
search vertical	垂直搜索
Device Encryption	设备加密
Buy	确认购买
SafeSearch	安全搜索
adult content	成人内容
advanced search	高级搜索
Search Suggestions	搜索建议
infinite scroll	无限分页
Instant Answers	快速搜索
personalization	个性化搜索结果
Search History	搜索历史记录
high-trust app	高信任应用程序
Office 365 Small Business Premium	Office 365 小型企业高级版
Microsoft Office 365 Small Business Premium	Microsoft Office 365 小型企业高级版
Office 365 ProPlus	Office 365 ProPlus
Microsoft Office 365 ProPlus	Microsoft Office 365 专业增强订阅版
Microsoft Office Home and Student 2013 RT	Microsoft Office Home and Student 2013 RT
Office Home & Student 2013 RT	Office Home & Student 2013 RT
PDF Reflow	PDF 重排
discontinued	已中断
offer	订阅详情
Office 365 Preview	Office 365 Preview
device channel	设备通道
study group	学习组
fill in the blank question	填写空白问题
graded question	已评分问题
enroll	注册
Central Management Server	中央管理服务器
availability set	可用性集
Blob service	BLOB 服务
business analytics service	业务分析服务
business analytics	商业分析
caching service	缓存服务
Cloud Services	云服务
Microsoft Azure Cloud Services	Microsoft Azure 云服务
data management	数据管理
data management service	数据管理服务
Enterprise Application Integration	企业应用程序集成
EAI	EAI
Microsoft Azure EAI	Microsoft Azure EAI
identity	ID
identity service	标识服务
integration service	集成服务
networking service	网络服务
networking	网络
publishing profile	发布配置文件
Queue service	队列服务
SQL Database instance	SQL 数据库实例
Append	追加
storage access key	存储访问密钥
Table service	表服务
Traffic Manager	流量管理器
Microsoft Azure Traffic Manager	Microsoft Azure 流量管理器
Microsoft Azure Virtual Machines	Microsoft Azure 虚拟机
Virtual Machines	虚拟机
Networks	网络
Microsoft Azure Networks	Microsoft Azure 网络
Microsoft Azure Websites	Microsoft Azure 网站
Websites	网站
gifted badge	赠送徽章
keyword query syntax	关键字查询语法
desktop device app	桌面设备应用
Windows Store device app	Windows 应用商店设备应用
Microsoft design language	Microsoft 设计语言
new Windows experience	全新 Windows 体验
new Windows user interface	全新 Windows 用户界面
new Windows UI	全新 Windows UI
Performance Analyzer for HTML5 Apps	HTML5 应用的性能分析器
Windows 8 app	Windows 8 应用
app for Windows 8	Windows 8 应用
Windows app	Windows 应用
WinRT	WinRT
Office Roaming Service	Office 漫游服务
decision maker	决策者
Microsoft Office Home and Student 2013	Microsoft Office 家庭和学生版 2013
Office Home & Student	Office Home & Student
Microsoft Office Home and Business 2013	Microsoft Office 小型企业版 2013
Office Home & Business	Office Home & Business
Microsoft Office Professional 2013	Microsoft Office 专业版 2013
Office Professional	Office Professional
Microsoft Office Standard 2013	Microsoft Office 标准版 2013
Office Standard	Office Standard
Microsoft Office Professional Plus 2013	Microsoft Office 专业增强版 2013
Office Professional Plus	Office Professional Plus
Microsoft Office 365 Small Business	Microsoft Office 365 小型企业版
Office 365 Small Business	Office 365 Small Business
Microsoft Office 365 Midsize Business	Microsoft Office 365 中型企业版
Office 365 Midsize Business	Office 365 中型企业版
Microsoft Office 365 University	Microsoft Office 365 大专院校版
Office 365 University	Office 365 University
Microsoft Project Pro for Office 365	Microsoft Project Pro for Office 365
Project Pro for Office 365	Project Pro for Office 365
Microsoft Visio Pro for Office 365	Microsoft Visio Pro for Office 365
Visio Pro for Office 365	Visio Pro for Office 365
Microsoft Access 2013	Microsoft Access 2013
Microsoft Excel 2013	Microsoft Excel 2013
Microsoft OneNote 2013	Microsoft OneNote 2013
Microsoft Outlook 2013	Microsoft Outlook 2013
Microsoft PowerPoint 2013	Microsoft PowerPoint 2013
Microsoft Publisher 2013	Microsoft Publisher 2013
Microsoft Word 2013	Microsoft Word 2013
Microsoft Visio Standard 2013	Microsoft Visio 标准版 2013
Microsoft Visio Professional 2013	Microsoft Visio 专业版 2013
Microsoft Project Professional 2013	Microsoft Project Professional 2013
Microsoft Project Standard 2013	Microsoft Project Standard 2013
fit	匹配度
initial communication	初次联络
purchase process	采购程序
prospecting	客户未来分析
follow up	跟进
Windows component library	Windows 组件库
pain point	难点
offering	产品/服务
debriefing	任务报告
go/no go	继续/终止
thank you note	感谢信
classic mode	经典模式
Disqualify Lead	取消潜在客户资格
Qualify Lead	赋予潜在客户资格
Quick Form	快速窗体
quick form	快速窗体
Microsoft Safety & Security Center	Microsoft 安全中心
Microsoft Safety and Security Center	Microsoft 安全中心
pursuit team	跟踪团队
time frame	期限
committed budget	承诺预算
New Quick Contact	新快速联系人
Contact Quick Form	联系人快速窗体
proposal	建议
All Activity Associated View	所有活动关联视图
OneDrive.com	OneDrive.com
Getting Started pane	“入门”窗格
Get started page	“入门”页面
secret chat room	秘密聊天室
Microsoft ODBC Driver 11 for SQL Server	Microsoft ODBC Driver 11 for SQL Server
Microsoft Command Line Utilities 11 For SQL Server	Microsoft Command Line Utilities 11 For SQL Server
Project Online with Project Pro for Office 365	Project Online with Project Pro for Office 365
Microsoft Project Online with Project Pro for Office 365	Microsoft Project Online with Project Pro for Office 365
Microsoft Project Server 2013	Microsoft Project Server 2013
Project Server	Project Server
potency management	含量管理
active ingredient	有效成分
batch balancing	批次平衡
compensating ingredient	补偿成分
filler ingredient	填充料成分
product sequencing	产品排序
lot inheritance	批号继承
hybrid cloud	混合云
software as a service	服务型软件
SaaS	SaaS
PaaS	PaaS
platform as a service	平台即服务
infrastructure as a service	服务架构
IaaS	IaaS
early upgrade	早期更新
Sync Slider	同步滑块
Microsoft Office Language Pack	Microsoft Office 语言包
Office Language Pack	Office 语言包
Microsoft Office Multi-Language Pack	Microsoft Office 多语言包
Office Multi-Language Pack	Office 多语言包
Save as type	保存类型
Row Labels	行标签
Rows	行
Column Labels	列标签
Video Spotlight	视频聚焦
Notebook Presence	笔记本中的用户状态
virtual classroom	虚拟教室
Review tab	“审阅”选项卡
Project Calculation Service	Project Calculation Service
cross-slide	交叉滑动
Message Trace	消息跟踪
Protection	保护
Exchange Online Protection	Exchange Online Protection
Encrypt	加密
End-User Spam Notification	最终用户垃圾邮件通知
user-based policies	基于用户的策略
DLP policy	DLP 策略
DLP policy template	DLP 策略模板
Policy Tip	策略提示
Microsoft Azure Active Directory Sync Tool	Microsoft Azure Active Directory 同步工具
brokered messaging	中转消息传送
data loss prevention	数据丢失防护
bulk mail protection	批量邮件保护
Best rated	最高评分
Best Rated Apps	最高评分的应用
Best Rated Games	最高评分的游戏
nickname	卡别名
cloud collection	云端集锦
data limit	流量上限
Data Sense	流量感知
dislike	不喜欢
Family Room	家庭空间
room	房间
fast card	便捷卡
flash auto	自动闪光
flash off	闪光灯关闭
flash on	闪光灯打开
front	前置摄像头
Access number	接入号
group text	群组短信
Help+Tips	帮助 + 提示
Skype To Go number	Skype To Go号码
Internet APN	Internet 接入点
MMS APN	彩信接入点
issuer	发卡机构
Keep your life in sync	让生活井井有条
Kid's Corner	儿童园地
